year_added,country,total_count
2008,United States,2
2009,Denmark,1
2009,United States,1
2010,United States,1
2011, France,1
2011, Mexico,1
2011,Spain,1
2011,United States,12
2012, Mexico,1
2012,United States,7
2013, Ireland,1
2013, United Kingdom,1
2013,Canada,1
2013,United States,11
2014,,1
2014, Bermuda,1
2014, Canada,2
2014, Ecuador,1
2014, Egypt,1
2014, Hungary,1
2014, Ireland,1
2014, United States,4
2014,Canada,2
2014,Norway,1
2014,United Kingdom,3
2014,United States,19
2015, Australia,2
2015, Belgium,2
2015, Canada,1
2015, France,4
2015, Germany,1
2015, Greece,1
2015, Ireland,2
2015, Italy,3
2015, New Zealand,1
2015, Ukraine,1
2015, United Kingdom,4
2015, United States,4
2015,Australia,3
2015,Belgium,1
2015,Canada,6
2015,France,5
2015,Germany,2
2015,Italy,1
2015,Japan,1
2015,Mexico,1
2015,New Zealand,1
2015,Nigeria,1
2015,Norway,1
2015,United Kingdom,6
2015,United States,61
2016, Australia,2
2016, Azerbaijan,1
2016, Belgium,3
2016, Canada,11
2016, Chile,1
2016, China,3
2016, Cuba,1
2016, Denmark,1
2016, Finland,1
2016, France,14
2016, Germany,9
2016, Greece,5
2016, Hong Kong,1
2016, Hungary,1
2016, India,2
2016, Indonesia,1
2016, Israel,1
2016, Japan,13
2016, Jordan,1
2016, Kazakhstan,1
2016, Montenegro,1
2016, Netherlands,4
2016, New Zealand,3
2016, Norway,2
2016, Peru,1
2016, Qatar,1
2016, Russia,1
2016, Serbia,1
2016, Slovenia,1
2016, South Africa,2
2016, South Korea,2
2016, Spain,5
2016, United Kingdom,9
2016, United States,22
2016, Zimbabwe,1
2016,Argentina,3
2016,Australia,8
2016,Austria,1
2016,Belgium,1
2016,Brazil,3
2016,Canada,24
2016,Chile,1
2016,China,6
2016,Colombia,2
2016,Croatia,1
2016,Denmark,6
2016,France,17
2016,Germany,5
2016,Hong Kong,3
2016,Iceland,1
2016,India,13
2016,Ireland,3
2016,Israel,2
2016,Italy,3
2016,Japan,20
2016,Mexico,9
2016,Netherlands,4
2016,Nigeria,1
2016,Norway,3
2016,Pakistan,4
2016,Peru,2
2016,Poland,1
2016,Russia,1
2016,South Korea,8
2016,Spain,13
2016,Sweden,1
2016,Switzerland,1
2016,Taiwan,29
2016,Turkey,4
2016,United Arab Emirates,1
2016,United Kingdom,45
2016,United States,206
2017, Afghanistan,1
2017, Argentina,6
2017, Armenia,1
2017, Australia,6
2017, Austria,1
2017, Belgium,18
2017, Botswana,1
2017, Brazil,2
2017, Bulgaria,1
2017, Canada,19
2017, Chile,1
2017, China,6
2017, Colombia,2
2017, Croatia,1
2017, Czech Republic,2
2017, Denmark,3
2017, France,24
2017, Germany,16
2017, Greece,1
2017, Hong Kong,6
2017, Iceland,1
2017, India,10
2017, Iran,1
2017, Ireland,3
2017, Israel,2
2017, Italy,6
2017, Japan,7
2017, Jordan,3
2017, Latvia,1
2017, Lebanon,1
2017, Malaysia,1
2017, Mexico,6
2017, Mongolia,1
2017, Morocco,1
2017, Nepal,1
2017, Netherlands,4
2017, New Zealand,2
2017, Nicaragua,1
2017, Norway,1
2017, Panama,1
2017, Peru,1
2017, Philippines,1
2017, Poland,1
2017, Qatar,4
2017, Romania,1
2017, Russia,2
2017, Samoa,1
2017, Senegal,1
2017, Singapore,2
2017, Slovakia,1
2017, South Africa,4
2017, South Korea,2
